S. ID.,Start Time,End Time,Session ID,Consent,,Baseline/Questionniare,,Stroop Test,,Relax,,Interview,,Relax,,Hyperventilation,,Relax,,Questionniare,,Relax/Baseline,,,Date
,,,,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,,
S01,9:22,10:22,1445405,9:22,9:27,9:39,9:43,9:29,9:34,9:34,9:39,9:44,9:54,9:54,9:59,10:00,10:02,10:02,10:07,10:08,10:12,10:12,10:22,Day 1,7-Feb-2022
S02,9:48,10:51,1445449,9:48,9:50,9:52,10:02,10:03,10:08,10:08,10:13,10:13,10:24,10:24,10:29,10:29,10:31,10:31,10:36,10:36,10:41,10:41,10:51,Day 1,7-Feb-2022
S03,10:50,11:50,1445450,10:50,10:53,10:55,11:02,11:04,11:09,11:09,11:14,11:14,11:23,11:23,11:28,11:28,11:30,11:30,11:35,11:35,11:40,11:40,11:50,Day 1,7-Feb-2022
S04,11:25,12:28,1445452,11:25,11:30,11:30,11:40,11:40,11:45,11:45,11:50,11:50,12:00,12:00,12:05,12:05,12:07,12:07,12:12,12:12,12:18,12:18,12:28,Day 1,7-Feb-2022
S05,9:05,10:06,1449998,9:05,9:10,9:12,9:22,9:23,9:29,9:29,9:34,9:34,9:44,9:44,9:49,9:49,9:51,9:51,9:56,9:56,10:01,10:01,10:06,Day 2,14-Feb-2022
S06,9:41,10:40,1450001,9:41,9:43,9:44,9:54,9:55,10:01,10:02,10:07,10:07,10:18,10:18,10:23,10:23,10:25,10:25,10:30,10:30,10:35,10:35,10:40,Day 2,14-Feb-2022
S07,10:25,11:26,1450002,10:25,10:29,10:31,10:41,10:43,10:48,10:48,10:53,10:53,11:03,11:03,11:08,11:09,11:11,11:11,11:16,11:16,11:21,11:21,11:26,Day 2,14-Feb-2022
S08,12:08,1:05,1450061,12:08,12:10,12:12,12:22,12:23,12:28,12:28,12:33,12:34,12:43,12:43,12:48,12:48,12:50,12:50,12:55,12:55,1:00,1:00,1:05,Day 2,14-Feb-2022
S09,12:34,1:31,1450063,12:34,12:36,12:38,12:48,12:49,12:54,12:54,12:59,12:59,1:09,1:09,1:14,1:14,1:16,1:16,1:21,1:21,1:26,1:26,1:31,Day 2,14-Feb-2022
S10,1:11,2:05,1450065,1:11,1:13,1:14,1:23,1:23,1:28,1:29,1:34,1:34,1:43,1:43,1:48,1:49,1:51,1:51,1:56,1:56,1:59,1:59,2:05,Day 2,14-Feb-2022
S11,3:15,4:15,1450169,3:15,3:19,3:21,3:31,3:32,3:38,3:38,3:43,3:43,3:53,3:53,3:58,3:58,4:00,4:01,4:06,4:06,4:10,4:10,4:15,Day 2,14-Feb-2022
S12,9:09,10:10,1454360,9:09,9:14,9:15,9:25,9:26,9:31,9:31,9:37,9:38,9:48,9:48,9:53,9:53,9:55,9:55,10:00,10:00,10:05,10:05,10:10,Day 3,21-Feb-2022
S13,11:20,12:20,1454571,11:20,11:25,11:25,11:35,11:35,11:42,11:42,11:47,11:48,11:58,11:58,12:03,12:03,12:05,12:05,12:10,12:10,12:14,12:14,12:20,Day 3,21-Feb-2022
S14,11:41,12:46,145474,11:41,11:46,11:47,11:57,12:01,12:06,12:06,12:11,12:11,12:21,12:22,12:28,12:28,12:30,12:31,12:36,12:36,12:42,12:42,12:46,Day 3,21-Feb-2022
S15,12:31,1:34,1454575,12:31,12:36,12:37,12:47,12:49,12:55,12:55,1:00,1:01,1:11,1:12,1:17,1:17,1:19,1:19,1:24,1:24,1:29,1:29,1:34,Day 3,21-Feb-2022
S16,1:05,2:10,1454577,1:05,1:10,1:13,1:23,1:26,1:31,1:31,1:36,1:36,1:46,1:46,1:51,1:52,1:54,1:54,2:00,2:00,2:06,2:06,2:10,Day 3,21-Feb-2022
S17,3:09,3:11,1454658,3:09,3:11,3:13,3:23,3:24,3:30,3:30,3:35,3:36,3:46,3:46,3:51,3:51,3:53,3:53,3:58,3:58,4:03,4:03,4:08,Day 3,21-Feb-2022
S18,3:30,4:31,1454661,3:30,3:35,3:35,3:45,3:46,3:51,3:52,3:57,3:58,4:08,4:08,4:14,4:14,4:16,4:16,4:21,4:21,4:26,4:26,4:31,Day 3,21-Feb-2022
S19,9:15,10:12,1458977,9:15,9:18,9:19,9:29,9:30,9:35,9:35,9:40,9:40,9:50,9:50,9:55,9:55,9:57,9:57,10:02,10:02,10:07,10:07,10:12,Day 4,28-Feb-2022
S20,9:46,10:44,1458978,9:46,9:49,9:50,10:00,10:01,10:07,10:07,10:12,10:13,10:23,10:23,10:27,10:27,10:29,10:29,10:34,10:34,10:39,10:39,10:44,Day 4,28-Feb-2022
S21,11:40,12:34,1459084,11:40,11:43,11:45,11:55,11:55,12:01,12:02,12:07,12:07,12:17,12:17,12:22,12:22,12:24,12:24,12:29,12:29,12:34,12:34,12:38,Day 4,28-Feb-2022
S22,12:16,1:10,1459085,12:16,12:18,12:20,12:28,12:29,12:35,12:35,12:40,12:40,12:50,12:50,12:55,12:55,12:57,12:57,1:02,1:02,1:06,1:06,1:10,Day 4,28-Feb-2022
S23,12:41,1:36,1459086,12:41,12:45,12:45,12:55,12:55,1:01,1:01,1:06,1:06,1:16,1:16,1:21,1:21,1:23,1:23,1:28,1:28,1:31,1:31,1:36,Day 4,28-Feb-2022
S24,2:36,3:35,1459225,2:36,2:38,2:40,2:50,2:51,2:57,2:58,3:03,3:03,3:14,3:14,3:18,3:18,3:20,3:20,3:25,3:25,3:30,3:30,3:35,Day 4,28-Feb-2022
S25,3:09,4:06,1459232,3:09,3:12,3:13,3:23,3:23,3:29,3:29,3:34,3:34,3:44,3:44,3:49,3:49,3:51,3:51,3:56,3:56,4:02,4:02,4:06,Day 4,28-Feb-2022
S26,3:37,4:35,1459230,3:37,3:40,3:42,3:52,3:52,3:57,3:57,4:02,4:02,4:12,4:12,4:18,4:18,4:20,4:20,4:25,4:25,4:28,4:28,4:35,Day 4,28-Feb-2022
S27,9:40,10:42,1463807,9:40,9:45,9:47,9:57,9:58,10:04,10:04,10:09,10:09,10:19,10:19,10:24,10:25,10:27,10:27,10:32,10:32,10:37,10:37,10:42,Day 5,7-Mar-2022
S28,12:13,1:10,1463925,12:13,12:17,12:17,12:27,12:27,12:33,12:33,12:38,12:38,12:48,12:48,12:53,12:53,12:55,12:55,1:00,1:00,1:08,1:08,1:10,Day 5,7-Mar-2022
S29,12:34,1:33,1463927,12:34,12:39,12:40,12:50,12:50,12:56,12:56,1:01,1:01,1:11,1:11,1:16,1:16,1:18,1:18,1:23,1:23,1:29,1:29,1:33,Day 5,7-Mar-2022
S30,12:53,1:54,1463929,12:53,12:58,1:00,1:10,1:11,1:17,1:17,1:22,1:22,1:32,1:32,1:37,1:37,1:39,1:39,1:44,1:44,1:50,1:50,1:54,Day 5,7-Mar-2022
S31,3:05,4:04,1464046,3:05,3:10,3:10,3:20,3:21,3:26,3:27,3:32,3:32,3:42,3:42,3:47,3:47,3:49,3:49,3:54,3:54,3:57,3:57,4:04,Day 5,7-Mar-2022
S32,3:34,4:30,1464048,3:34,3:37,3:37,3:47,3:47,3:53,3:53,3:58,3:58,4:08,4:08,4:13,4:13,4:15,4:15,4:20,4:20,4:24,4:24,4:30,Day 5,7-Mar-2022
S33,12:11,1:08,1465906,12:11,12:14,12:15,12:25,12:24,12:30,12:30,12:35,12:35,12:45,12:45,12:50,12:51,12:53,12:53,12:58,12:58,1:05,1:05,1:08,Day 6,9-Mar-2022
S34,2:30,3:35,1466048,2:30,2:35,2:38,2:50,2:51,2:57,2:57,3:03,3:03,3:13,3:13,3:18,3:18,3:20,3:20,3:25,3:25,3:30,3:30,3:35,Day 6,9-Mar-2022
S35,3:07,4:11,1466055,3:07,3:12,3:12,3:22,3:23,3:29,3:29,3:34,3:34,3:44,3:44,3:49,3:49,3:51,3:52,3:57,3:57,4:01,4:01,4:07,Day 6,9-Mar-2022
